trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.5, 'e': 0.00011944220490310251}",30,3,45.66355501317044,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.00011814744801512288}",30,0,39.435835534520095,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.5, 'e': 0.0001168736303871439}",25,9,-11.595174105818115,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
186,False,"{'a': 0.5, 'e': 0.00011562030292519366}",35,21,-59.97828062499671,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
187,False,"{'a': 0.5, 'e': 0.00011438702851096685}",20,0,27.749477962933597,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.00011317338162064282}",25,0,10.476459274848828,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.00011197894795778394}",25,0,34.05821155798099,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.00011080332409972299}",20,10,18.87077672919885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.00010964611715687619}",20,0,-11.231788527817915,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
192,False,"{'a': 0.5, 'e': 0.00010850694444444444}",30,0,40.40927046065403,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.00010738543316599103}",20,13,11.067093093242073,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.00010628122010840685}",20,7,13.06329881964548,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.0001051939513477975}",30,12,30.130770841666674,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.00010412328196584757}",20,0,24.579391953241796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.00010306887577623747}",25,14,20.027992540821558,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.00010203040506070809}",25,0,30.37522982638705,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.000101007550314386}",30,8,24.19451044707884,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.0001}",20,8,17.856588276606537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 9.900745031063588e-05}",25,6,15.780894179343122,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-0.42464472796817065,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,6,21.08625057346711,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,11.659929674174832,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,28.713373324528224,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,4.714958476441321,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,20,5.896531011526729,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,27.183145671058035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,33.72192884000704,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,13,27.459725579692012,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-15.124568170224471,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
